Make,Model,Variant,Price,Displacement,Cylinders,Drivetrain,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Doors,City_Mileage,ARAI_Certified_Mileage,Power,Torque,Type,Wheelbase
Bmw,X3,Xdrive 20D Luxury Line,"59,30,000",1995,4,4WD,Injection,67,Diesel,1678,4657,1881,5,16,18.56,190,400,Automatic,2810
Bmw,X3,Xdrive 30I Luxury Line,"58,80,000",1998,4,4WD,Injection,67,Petrol,1678,4657,1881,5,16,18.56,248,350,Automatic,2810
Bmw,X3,Xdrive20D Xline,"56,00,000",1995,4,4WD,Injection,67,Diesel,1678,4657,1881,5,16,18.56,190,400,Automatic,2810
Bmw,X5,Xdrive30D Sport,"73,30,000",2993,6,AWD (All Wheel Drive),Injection,,Diesel,1745,4922,2218,5,,13.38,265,620,Automatic,2575
Bmw,X5,Xdrive30D Xline,"82,90,000",2993,6,AWD (All Wheel Drive),Injection,,Diesel,1745,4922,2218,5,,13.38,265,620,Automatic,2575
Bmw,X5,Xdrive40I M Sport,"82,90,000",2998,6,AWD (All Wheel Drive),Injection,,Petrol,1745,4922,2218,5,,11.24,340,450,Automatic,2575
Bmw,7-Series,730Ld Design Pure Excellence,"1,22,90,000",2993,6,AWD (All Wheel Drive),Injection,78,Diesel,1479,5120,2169,4,13.5,17.66,265,620,Automatic,3210
Bmw,7-Series,730Ld Design Pure Excellence Signature,"1,32,00,000",2993,6,AWD (All Wheel Drive),Injection,78,Diesel,1479,5120,2169,4,13.5,17.66,265,620,Automatic,3210
Bmw,7-Series,730Ld M Sport,"1,35,10,000",2993,6,AWD (All Wheel Drive),Injection,78,Diesel,1479,5120,2169,4,13.5,17.66,265,620,Automatic,3210
Bmw,7-Series,740Li Design Pure Excellence Signature,"1,35,10,000",2998,6,AWD (All Wheel Drive),Injection,78,Petrol,1479,5120,2169,4,,11.86,340,450,Automatic,3210
Bmw,7-Series,745Le Xdrive,"1,65,00,000",2998,6,AWD (All Wheel Drive),Injection,46,Hybrid,1481,5219,2142,4,,,286,450,Automatic,3110
Bmw,7-Series,M760Li Xdrive,"2,42,50,000",6592,12,AWD (All Wheel Drive),Injection,78,Petrol,1481,5219,2142,4,,7.96,609,850,Automatic,3110
Bmw,X1,Sdrive20D Expedition,"35,20,000",1995,4,AWD (All Wheel Drive),Injection,51,Diesel,1612,4439,2060,5,18,20.68,190,400,Automatic,2670
Bmw,X1,Sdrive20D Xline,"39,30,000",1995,4,AWD (All Wheel Drive),Injection,51,Diesel,1612,4439,2058,5,18,20.68,190,400,Automatic,2670
Bmw,X1,Xdrive20D M Sport,"45,70,000",1995,4,AWD (All Wheel Drive),Injection,51,Diesel,1612,4439,2058,5,18,20.68,190,400,Automatic,2670
Bmw,X1,Sdrive20D M Sport,"42,40,000",1995,4,RWD (Rear Wheel Drive),Injection,61,Diesel,1545,4477,2058,5,,17.05,187,400,Automatic,2760
Bmw,X1,Sdrive20I Xline,"38,30,000",1998,4,AWD (All Wheel Drive),Injection,51,Petrol,1612,4439,1821,5,15.71,16.3,192,280,Automatic,2670
,S60,Polestar,"56,02,000",1969,4,FWD (Front Wheel Drive),Injection,67,Petrol,1484,4635,2097,4,13.2,,372,470,Automatic,2776
,,,,,,,,,,,,,,,,,,,
Bmw,3-Series,320D Sport,"41,40,000",1995,4,RWD (Rear Wheel Drive),Injection,40,Diesel,1429,4633,1811,5,,19.62,190,400,Automatic,2810
Bmw,3-Series,320D Luxury Line,"46,90,000",1995,4,RWD (Rear Wheel Drive),Injection,40,Diesel,1429,4633,1811,5,,19.62,190,400,Automatic,2810
Bmw,3-Series,330I M Sport,"47,90,000",1998,4,RWD (Rear Wheel Drive),Injection,59,Petrol,1429,4633,1811,5,,16.13,258,400,Automatic,2810
Bmw,X7,Xdrive 40I,"1,04,90,000",2998,6,AWD (All Wheel Drive),Injection,80,Petrol,1805,5151,2000,5,,13.38,335,450,Automatic,3105
Bmw,X7,Xdrive30D Dpe Signature,"1,02,50,000",2993,6,AWD (All Wheel Drive),Injection,80,Diesel,1805,5151,2000,5,,13.38,262,620,Automatic,3105
Bmw,M4,Coupe,"1,35,90,000",2979,6,RWD (Rear Wheel Drive),Injection,60,Petrol,1383,4671,1870,2,7.32,10.75,431,550,Automatic,2812
Bmw,X4,Xdrive20D M Sport X,"60,60,000",1995,4,AWD (All Wheel Drive),Injection,60,Diesel,1621,4752,1918,5,,16.4,188,400,Automatic,2864
Bmw,X4,Xdrive30D M Sport X,"65,90,000",2993,6,AWD (All Wheel Drive),Injection,68,Diesel,1621,4752,1918,5,,16.4,265,620,Automatic,2864
Bmw,X4,Xdrive30I M Sport X,"63,50,000",1998,6,AWD (All Wheel Drive),Injection,68,Petrol,1621,4752,1918,5,,13.32,248,350,Automatic,2864
,,,,,,,,,,,,,,,,,,,
,Mercedes-Benz C-Class Cabriolet,C300,"64,26,497",1991,4,RWD (Rear Wheel Drive),Injection,60,Petrol,1409,4686,1810,2,,,258,370,Automatic,2840
Bmw,Z4 Roadster,Sdrive 20I,"64,90,000",1998,4,RWD (Rear Wheel Drive),Injection,52,Petrol,1304,4324,2024,2,,7.6,197,320,Automatic,2470
Bmw,Z4 Roadster,M 40I,"78,90,000",2998,6,RWD (Rear Wheel Drive),Injection,52,Petrol,1304,4324,1459,2,,7.6,340,500,Automatic,2470
