Make,Model,Variant,Price,Displacement,Cylinders,Drivetrain,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Doors,City_Mileage,ARAI_Certified_Mileage,Power,Torque,Type,Wheelbase
Volkswagen,Polo,Trendline 1.0L (P),"5,82,000",999,3,FWD (Front Wheel Drive),Injection,45,Petrol,1469,3971,1682,5,14,18.78,76,95,Manual,2469
Volkswagen,Polo,Comfortline 1.0 (P),"6,76,500",999,3,FWD (Front Wheel Drive),Injection,45,Petrol,1469,3971,1682,5,14,18.78,76,95,Manual,2469
Volkswagen,Polo,Highline Plus 1.0 (P),"7,76,500",999,3,FWD (Front Wheel Drive),Injection,45,Petrol,1469,3971,1682,5,14,18.78,76,95,Manual,2469
Volkswagen,Polo,Trendline 1.5L (D),"7,34,500",1498,4,FWD (Front Wheel Drive),Injection,45,Diesel,1469,3971,1682,5,19,20.14,90,230,Manual,2469
Volkswagen,Polo,Comfortline 1.5 (D),"8,51,500",1498,4,FWD (Front Wheel Drive),Injection,45,Diesel,1469,3971,1682,5,19,20.14,90,230,Manual,2469
Volkswagen,Polo,Highline Plus 1.5 (D),"9,31,500",1498,4,FWD (Front Wheel Drive),Injection,45,Diesel,1469,3971,1682,5,19,20.14,90,230,Manual,2469
Volkswagen,Polo,Gt Tsi,"9,76,000",1197,4,FWD (Front Wheel Drive),Injection,45,Petrol,1469,3971,1682,5,17,17.21,105,175,Automatic,2469
Volkswagen,Polo,Gt Tdi,"9,88,500",1498,4,FWD (Front Wheel Drive),Injection,45,Diesel,1469,3971,1682,5,19,19.91,110,250,Manual,2469
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
