Make,Model,Variant,Price,Displacement,Cylinders,Drivetrain,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Doors,City_Mileage,ARAI_Certified_Mileage,Power,Torque,Type,Wheelbase
Maruti Suzuki,Swift,Vxi,"6,19,000",1197,4,FWD (Front Wheel Drive),Injection,37,Petrol,1530,3840,1735,5,,20.4,83,113,Manual,2450
Maruti Suzuki,Swift,Vxi Amt,"6,66,000",1197,4,FWD (Front Wheel Drive),Injection,37,Petrol,1530,3840,1735,5,,20.4,83,113,Automatic,2450
Maruti Suzuki,Swift,Zxi,"6,78,000",1197,4,FWD (Front Wheel Drive),Injection,37,Petrol,1530,3840,1735,5,,20.4,83,113,Manual,2450
Maruti Suzuki,Swift,Zxi Amt,"7,25,000",1197,4,FWD (Front Wheel Drive),Injection,37,Petrol,1530,3840,1735,5,,20.4,83,113,Automatic,2450
Maruti Suzuki,Swift,Zxi Plus,"7,58,000",1197,4,FWD (Front Wheel Drive),Injection,37,Petrol,1530,3840,1735,5,,20.4,83,113,Manual,2450
Maruti Suzuki,Swift,Ldi,"5,99,000",1248,4,FWD (Front Wheel Drive),Injection,37,Diesel,1530,3840,1735,5,,25.2,75,190,Manual,2430
Maruti Suzuki,Swift,Vdi,"6,98,000",1248,4,FWD (Front Wheel Drive),Injection,37,Diesel,1530,3840,1735,5,,25.2,75,190,Manual,2450
Maruti Suzuki,Swift,Vdi Amt,"7,45,000",1248,4,FWD (Front Wheel Drive),Injection,37,Diesel,1530,3840,1735,5,,25.2,75,190,Automatic,2450
Maruti Suzuki,Swift,Zdi,"7,57,000",1248,4,FWD (Front Wheel Drive),Injection,37,Diesel,1530,3840,1735,5,,25.2,75,190,Manual,2450
Maruti Suzuki,Swift,Zdi Amt,"8,04,000",1248,4,FWD (Front Wheel Drive),Injection,37,Diesel,1530,3840,1735,5,,25.2,75,190,Automatic,2450
Maruti Suzuki,Swift,Zdi Plus,"8,38,000",1248,4,FWD (Front Wheel Drive),Injection,37,Diesel,1530,3840,1735,5,,25.2,75,190,Manual,2450
Maruti Suzuki,Swift,Zxi Plus Amt,"8,02,000",1197,4,FWD (Front Wheel Drive),Injection,37,Petrol,1530,3840,1735,5,,20.4,83,113,Automatic,2450
Maruti Suzuki,Swift,Zdi Plus Amt,"8,84,000",1248,4,FWD (Front Wheel Drive),Injection,37,Diesel,1530,3840,1735,5,,25.2,75,190,Automatic,2450
Maruti Suzuki,Vitara Brezza,Ldi,"7,62,742",1248,4,FWD (Front Wheel Drive),Injection,48,Diesel,1640,3995,1790,5,20,24.3,90,200,Manual,2500
