Make,Model,Variant,Price,Displacement,Cylinders,Drivetrain,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Doors,City_Mileage,ARAI_Certified_Mileage,Power,Torque,Type,Wheelbase
Nissan,Micra Active,Xl,"5,25,021",1198,3,FWD (Front Wheel Drive),Injection,41,Petrol,1530,3801,1665,5,,18.97,68,104,Manual,2450
Nissan,Micra Active,Xv,"5,99,950",1198,3,FWD (Front Wheel Drive),Injection,41,Petrol,1530,3801,1665,5,19.49,19.49,68,104,Manual,2450
Nissan,Micra Active,Xl (O),"5,63,133",1198,3,FWD (Front Wheel Drive),Injection,41,Petrol,1530,3801,1665,5,,18.97,68,104,Manual,2450
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
