Make,Model,Variant,Price,Displacement,Cylinders,Drivetrain,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Doors,City_Mileage,ARAI_Certified_Mileage,Power,Torque,Type,Wheelbase
Tata,Altroz,Xe Petrol,"5,29,000",1199,3,FWD (Front Wheel Drive),Injection,37,Petrol,1523,3990,1755,5,,18,86,113,Manual,2501
Tata,Altroz,Xm Petrol,"6,15,000",1199,3,FWD (Front Wheel Drive),Injection,37,Petrol,1523,3990,1755,5,,,86,113,Manual,2501
Tata,Altroz,Xt Petrol,"6,84,000",1199,3,FWD (Front Wheel Drive),Injection,37,Petrol,1523,3990,1755,5,,,86,113,Manual,2501
Tata,Altroz,Xz Petrol,"7,44,000",1199,3,FWD (Front Wheel Drive),Injection,37,Petrol,1523,3990,1755,5,,,86,113,Manual,2501
Tata,Altroz,Xz (O) Petrol,"7,69,000",1199,3,FWD (Front Wheel Drive),Injection,37,Petrol,1523,3990,1755,5,,,86,113,Manual,2501
Tata,Altroz,Xe Diesel,"6,99,000",1497,4,FWD (Front Wheel Drive),Injection,37,Diesel,1523,3990,1755,5,,25,90,200,Manual,2501
Tata,Altroz,Xm Diesel,"7,75,000",1497,4,FWD (Front Wheel Drive),Injection,37,Diesel,1523,3990,1755,5,,,90,200,Manual,2501
Tata,Altroz,Xt Diesel,"8,44,000",1497,4,FWD (Front Wheel Drive),Injection,37,Diesel,1523,3990,1755,5,,,90,200,Manual,2501
Tata,Altroz,Xz Diesel,"9,04,000",1497,4,FWD (Front Wheel Drive),Injection,37,Diesel,1523,3990,1755,5,,,90,200,Manual,2501
Tata,Altroz,Xz (O) Diesel,"9,29,000",1497,4,FWD (Front Wheel Drive),Injection,37,Diesel,1523,3990,1755,5,,,90,200,Manual,2501
Tata,Tigor,Revotron Xe,"5,75,000",1199,3,FWD (Front Wheel Drive),Injection,35,Petrol,1537,3992,1677,4,24.12,23,86,113,Manual,2450
Tata,Tigor,Revotron Xm,"6,10,000",1199,3,FWD (Front Wheel Drive),Injection,35,Petrol,1537,3992,1677,4,24.12,23,86,113,Manual,2450
Tata,Tigor,Revotron Xz,"6,50,000",1199,3,FWD (Front Wheel Drive),Injection,35,Petrol,1537,3992,1677,4,24.12,23,86,113,Manual,2450
Tata,Tigor,Revotron Xz Plus,"6,99,000",1199,3,FWD (Front Wheel Drive),Injection,35,Petrol,1537,3992,1677,4,24.12,23,86,113,Manual,2450
Tata,Tigor,Revotron Xma,"6,60,000",1199,3,FWD (Front Wheel Drive),Injection,35,Petrol,1537,3992,1677,4,24.12,23,86,113,AMT,2450
Tata,Tigor,Revotron Xza Plus,"7,49,000",1199,3,FWD (Front Wheel Drive),Injection,35,Petrol,1537,3992,1677,4,24.12,23,86,113,AMT,2450
Tata,Zest,Xe Petrol,"5,82,287",1193,4,FWD (Front Wheel Drive),Injection,44,Petrol,1570,3995,1706,4,13.2,17.6,90,140,Manual,2470
Tata,Zest,Xe Diesel,"7,02,946",1248,4,FWD (Front Wheel Drive),Injection,44,Diesel,1570,3995,1706,4,19.2,23,75,190,Manual,2470
Tata,Zest,Xm Petrol,"6,53,926",1193,4,FWD (Front Wheel Drive),Injection,44,Petrol,1570,3995,1706,4,13.2,17.6,90,140,Manual,2470
Tata,Zest,Xms Petrol,"6,72,641",1193,4,FWD (Front Wheel Drive),Injection,44,Petrol,1570,3995,1706,4,13.2,17.6,90,140,Manual,2470
