"Make","Model","Variant","Price","Displacement","Cylinders","Drivetrain","Fuel_System","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Power","Torque","Type","Wheelbase"
"Tata","Nano Genx","Xt","292,667","624","2","RWD (Rear Wheel Drive)","Injection","24","Petrol","1652","3164","1750","5","23.6","23.6","38","51","Manual","2230"
"Tata","Nano Genx","Xe","236,447","624","2","RWD (Rear Wheel Drive)","Injection","24","Petrol","1652","3164","1750","5","23.6","23.6","38","51","Manual","2230"
"Tata","Nano Genx","Emax Xm","296,661","624","2","RWD (Rear Wheel Drive)","Injection","15","CNG","1652","3164","1750","4","","","38","51","Manual","2230"
"Tata","Nano Genx","Xta","334,768","624","2","RWD (Rear Wheel Drive)","Injection","24","Petrol","1652","3164","1750","5","23.6","21.9","38","51","Automatic","2230"
"Tata","Nano Genx","Xm","272,223","624","2","RWD (Rear Wheel Drive)","Injection","24","Petrol","1652","3164","1750","5","23.6","23.6","38","51","Manual","2230"
"Tata","Nano Genx","Xma","314,815","624","2","RWD (Rear Wheel Drive)","Injection","24","Petrol","1652","3164","1750","5","23.6","21.9","38","51","Automatic","2230"
"Datsun","Redi-Go","D","279,650","799","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1541","3429","1560","5","21.38","25.17","54","72","Manual","2348"
"Datsun","Redi-Go","T","351,832","799","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1541","3429","1560","5","21.38","25.17","54","72","Manual","2348"
"Datsun","Redi-Go","A","333,419","799","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1541","3429","1560","5","21.38","25.17","54","72","Manual","2348"
"Datsun","Redi-Go","S","362,000","799","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1541","3429","1560","5","21.38","25.17","54","72","Manual","2348"
"Datsun","Redi-Go","1.0 S","390,000","999","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1541","3429","1560","5","","22.5","68","91","Manual","2348"
"Datsun","Redi-Go","1.0 S Amt","437,065","999","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1541","3429","1560","5","","23","68","91","Automatic","2348"
"Renault","Kwid","Rxe 0.8","353,290","799","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","25.17","54","72","Manual","2422"
"Renault","Kwid","Std 0.8","283,290","799","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","25.17","54","72","Manual","2442"
"Renault","Kwid","Rxl 0.8","383,290","799","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","25.17","54","72","Manual","2422"
"Renault","Kwid","Rxt 0.8","413,290","799","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1580","5","25.17","25.17","54","72","Manual","2422"
"Renault","Kwid","Rxt 1.0","433,290","999","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","23.01","68","91","Manual","2422"
"Renault","Kwid","Climber 1.0 Mt","454,490","999","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","23.01","68","91","Manual","2422"
"Renault","Kwid","Rxt Amt 1.0","463,290","999","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","24.04","68","91","Automatic","2422"
"Renault","Kwid","Climber Amt 1.0","484,490","999","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","24.04","68","91","Automatic","2422"
"Renault","Kwid","Rxt (O) 1.0","440,990","999","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","23.01","68","91","Manual","2422"
"Renault","Kwid","Rxt (O) Amt 1.0","470,990","999","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","23.01","68","91","Automatic","2422"
"Renault","Kwid","Climber (O) Mt 1.0","462,190","999","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","23.01","68","91","Manual","2422"
"Renault","Kwid","Climber (O) Amt 1.0","492,190","999","3","FWD (Front Wheel Drive)","Injection","28","Petrol","1490","3731","1579","5","25.17","24.04","68","91","Automatic","2422"
"Maruti Suzuki","Eeco","5 Str","352,136","1196","4","RWD (Rear Wheel Drive)","Injection","40","Petrol","1800","3675","1475","5","12","15","73","101","Manual","2350"
"Maruti Suzuki","Eeco","7 Str","380,573","1196","4","FWD (Front Wheel Drive)","Injection","40","Petrol","1800","3675","1475","5","12","15","74","101","Manual","2350"
"Maruti Suzuki","Eeco","5 Str With Ac+Htr","392,967","1196","4","RWD (Rear Wheel Drive)","Injection","40","Petrol","1800","3675","1475","5","11","15","73","101","Manual","2350"
"Maruti Suzuki","Eeco","5 Str With Ac+Htr Cng","466,057","1196","4","RWD (Rear Wheel Drive)","Injection","40","CNG","1800","3675","1475","5","","","62","85","Manual","2350"
"Maruti Suzuki","Eeco","5 Str With Htr Cng","425,255","1196","4","RWD (Rear Wheel Drive)","Injection","40","CNG","1800","3675","1475","5","","","62","85","Manual","2350"
"Maruti Suzuki","Alto K10","Lxi","377,588","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1475","3545","1490","5","14","24.07","68","90","Manual","2360"
"Maruti Suzuki","Alto K10","Vxi","394,036","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1475","3545","1490","5","14","24.07","68","90","Manual","2360"
"Maruti Suzuki","Alto K10","Lx","360,843","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1475","3545","1490","5","19","24.07","68","90","Manual","2360"
"Maruti Suzuki","Alto K10","Vxi (O)","407,238","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1460","3620","1475","5","14","24.07","68","90","Manual","2360"
"Maruti Suzuki","Alto K10","Lxi Cng (O)","439,777","998","3","FWD (Front Wheel Drive)","Injection","35","CNG","1475","3545","1490","5","","","59","78","Manual","2360"
"Maruti Suzuki","Alto K10","Vxi Amt (O)","438,559","998","3","FWD (Front Wheel Drive)","Injection","35","Petrol","1475","3545","1490","5","14","24.07","68","90","Automatic","2360"
