Make,Model,Variant,Price,Displacement,Cylinders,Drivetrain,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Doors,City_Mileage,ARAI_Certified_Mileage,Power,Torque,Type,Wheelbase
Toyota,Etios Liva,G,"5,20,300",1197,4,FWD (Front Wheel Drive),Injection,45,Petrol,1510,3884,1695,5,15.1,18.16,80,104,Manual,2460
Toyota,Etios Liva,V,"5,81,000",1197,4,FWD (Front Wheel Drive),Injection,45,Petrol,1510,3884,1695,5,15.1,18.16,80,104,Manual,2460
Toyota,Etios Liva,Gd,"6,47,800",1364,4,FWD (Front Wheel Drive),Injection,45,Diesel,1510,3884,1695,5,20.3,23.59,68,170,Manual,2460
Toyota,Etios Liva,Vx,"6,30,000",1197,4,FWD (Front Wheel Drive),Injection,45,Petrol,1510,3884,1695,5,15.1,18.16,80,104,Manual,2460
Toyota,Etios Liva,Vxd,"7,45,000",1364,4,FWD (Front Wheel Drive),Injection,45,Diesel,1510,3884,1695,5,20.3,23.59,68,170,Manual,2460
Toyota,Etios Liva,Vd,"7,04,000",1364,4,FWD (Front Wheel Drive),Injection,45,Diesel,1510,3884,1695,5,20.3,23.59,68,170,Manual,2460
Toyota,Etios Liva,Dual Tone V,"5,97,700",1197,4,FWD (Front Wheel Drive),Injection,45,Petrol,1510,3884,1695,5,15.1,18.16,80,104,Manual,2460
Toyota,Etios Liva,Dual Tone Vd,"7,20,700",1364,4,FWD (Front Wheel Drive),Injection,45,Diesel,1510,3884,1695,5,20.3,23.59,68,170,Manual,2460
Toyota,Etios Liva,Dual Tone Vx,"6,41,700",1197,4,FWD (Front Wheel Drive),Injection,45,Petrol,1510,3884,1695,5,15.1,18.16,80,104,Manual,2460
Toyota,Etios Liva,Dual Tone Vxd,"7,56,700",1364,4,FWD (Front Wheel Drive),Injection,45,Diesel,1510,3884,1695,5,20.3,23.59,68,170,Manual,2460
Toyota,Etios Liva,Gx,"5,58,400",1197,4,FWD (Front Wheel Drive),Injection,45,Petrol,1510,3884,1695,5,15.1,18.16,80,104,Manual,2460
Toyota,Etios Liva,Gxd,"6,86,000",1364,4,FWD (Front Wheel Drive),Injection,45,Diesel,1510,3884,1695,5,20.3,23.59,68,170,Manual,2460
Toyota,Etios Liva,Vx Dual Tone Limited Edition,"6,62,700",1197,4,FWD (Front Wheel Drive),Injection,45,Petrol,1510,3884,1695,5,15.1,18.16,80,104,Manual,2460
Toyota,Etios Liva,Vxd Dual Tone Limited Edition,"7,77,700",1364,4,FWD (Front Wheel Drive),Injection,45,Diesel,1510,3884,1695,5,20.3,23.59,68,170,Manual,2460
