Make,Model,Variant,Price,Displacement,Cylinders,Drivetrain,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Doors,City_Mileage,ARAI_Certified_Mileage,Power,Torque,Type,Wheelbase
City,Sv Mt Petrol,"9,91,000",1497,4,FWD (Front Wheel Drive),Injection,40,Petrol,1495,4440,1695,4,14.3,17.4,119,145,Manual,2600,
City,V Mt Petrol,"10,65,900",1497,4,FWD (Front Wheel Drive),Injection,40,Petrol,1495,4440,1695,4,14.3,17.8,119,145,Manual,2600,
City,Vx Mt Petrol,"11,82,000",1497,4,FWD (Front Wheel Drive),Injection,40,Petrol,1495,4440,1695,4,14.3,17.4,119,145,Manual,2600,
City,Vx Cvt Petrol,"13,12,000",1497,4,FWD (Front Wheel Drive),Injection,40,Petrol,1495,4440,1695,4,14.3,18,119,145,Automatic,2600,
City,Sv Mt Diesel,"11,11,000",1498,4,FWD (Front Wheel Drive),Injection,40,Diesel,1495,4440,1695,4,22.6,25.6,100,200,Manual,2600,
City,V Mt Diesel,"11,91,000",1498,4,FWD (Front Wheel Drive),Injection,40,Diesel,1495,4440,1695,4,22.6,25.6,100,200,Manual,2600,
City,Vx Mt Diesel,"13,02,000",1498,4,FWD (Front Wheel Drive),Injection,40,Diesel,1495,4440,1695,4,22.6,25.1,100,200,Manual,2600,
City,Zx Mt Diesel,"14,21,000",1498,4,FWD (Front Wheel Drive),Injection,40,Diesel,1495,4440,1695,4,22.6,25.1,100,200,Manual,2600,
City,Zx Cvt Petrol,"14,31,000",1497,4,FWD (Front Wheel Drive),Injection,40,Petrol,1495,4440,1695,4,18,22.6,119,145,Automatic,2600,
City,V Cvt Petrol,"12,01,000",1497,4,FWD (Front Wheel Drive),Injection,40,Petrol,1495,4440,1695,4,14.3,17.8,119,145,Automatic,2600,
