Make,Model,Variant,Price,Displacement,Cylinders,Drivetrain,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Doors,City_Mileage,ARAI_Certified_Mileage,Power,Torque,Type,Wheelbase
Compass,1.4 Limited At,"19,96,000",1368,6,FWD (Front Wheel Drive),Injection,60,Petrol,1640,4395,1818,5,,16.3,162,250,Automatic,2636,
Compass,1.4 Sport,"15,60,000",1368,6,FWD (Front Wheel Drive),Injection,60,Petrol,1640,4395,1818,5,,16.3,162,250,Manual,2636,
Compass,1.4 Limited (O) At,"20,55,000",1368,6,FWD (Front Wheel Drive),Injection,60,Petrol,1640,4395,1818,5,,14.1,162,250,Automatic,2636,
Compass,2.0 Sport,"16,61,000",1956,6,FWD (Front Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,17.1,173,350,Manual,2636,
Compass,2.0 Longitude,"18,03,000",1956,6,FWD (Front Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,17.1,173,350,Manual,2636,
Compass,2.0 Longitude (O),"18,88,000",1956,6,FWD (Front Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,17.1,173,350,Manual,2636,
Compass,2.0 Limited,"19,73,000",1956,6,FWD (Front Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,17.1,173,350,Manual,2636,
Compass,2.0 Limited (O),"20,22,000",1956,6,FWD (Front Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,17.1,173,350,Manual,2636,
Compass,2.0 Limited 4X4,"21,51,000",1956,6,AWD (All Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,16.3,173,350,Manual,2636,
Compass,2.0 Limited (O) 4X4,"21,99,000",1956,6,AWD (All Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,16.3,173,350,Manual,2636,
Compass,1.4 Limited Plus At Petrol,"21,67,000",1368,6,FWD (Front Wheel Drive),Injection,60,Petrol,1640,4395,1818,5,,16.3,162,250,Automatic,2636,
Compass,2.0 Limited Plus 4X2 Diesel,"21,33,000",1956,6,FWD (Front Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,17.1,173,350,Manual,2636,
Compass,2.0 Limited Plus 4X4 Diesel,"23,11,000",1956,6,AWD (All Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,16.3,173,350,Manual,2636,
Compass,2.0 Sport Plus,"16,99,000",1956,6,FWD (Front Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,17.1,173,350,Manual,2636,
Compass,1.4 Sport Plus,"15,99,000",1368,6,FWD (Front Wheel Drive),Injection,60,Petrol,1640,4395,1818,5,,16.3,162,250,Manual,2636,
Compass,1.4 Longitude (O) At,"19,00,000",1368,6,FWD (Front Wheel Drive),Injection,60,Petrol,1640,4395,1818,5,,14.1,163,250,Automatic,2636,
Compass,1.4 Limited (O) At Petrol Black Pack,"20,70,000",1368,6,FWD (Front Wheel Drive),Injection,60,Petrol,1640,4395,1818,5,,16.3,162,250,Automatic,2636,
Compass,2.0 Limited (O) Black Pack,"20,36,300",1956,6,FWD (Front Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,17.1,173,350,Manual,2636,
Compass,2.0 Limited (O) 4X4 Black Pack,"22,14,000",1956,6,AWD (All Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,16.3,173,350,Manual,2636,
Compass,2.0 Limited Plus 4X4 At,"24,99,000",1956,6,AWD (All Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,17.1,173,350,Automatic,2636,
Compass,2.0 Longitude 4X4 At,"21,96,000",1956,6,AWD (All Wheel Drive),Injection,60,Diesel,1640,4395,1818,5,,17.1,173,350,Automatic,2636,
