Make,Model,Variant,Price,Displacement,Cylinders,Drivetrain,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Doors,City_Mileage,ARAI_Certified_Mileage,Power,Torque,Type,Wheelbase
Innova Crysta,2.4 Gx 7 Str,"16,05,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Diesel,1795,4735,1830,5,12,15.4,150,343,Manual,2750,
Innova Crysta,2.4 Vx 7 Str,"19,27,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Diesel,1795,4735,1830,5,12,15,150,343,Manual,2750,
Innova Crysta,2.4 Gx 8 Str,"16,10,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Diesel,1795,4735,1830,5,12,15.4,150,343,Manual,2750,
Innova Crysta,2.4 Vx 8 Str,"19,32,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Diesel,1795,4735,1830,5,12,15.4,150,343,Manual,2750,
Innova Crysta,2.4 Zx 7 Str,"21,13,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Diesel,1795,4735,1830,5,12,15.1,150,343,Manual,2750,
Innova Crysta,2.7 Gx At 8 Str,"16,20,000",2694,4,RWD (Rear Wheel Drive),Injection,55,Petrol,1795,4735,1830,5,11.2,10.83,166,245,Automatic,2750,
Innova Crysta,2.7 Gx At 7 Str,"16,15,000",2694,4,RWD (Rear Wheel Drive),Injection,55,Petrol,1795,4735,1830,5,11.2,10.83,166,245,Automatic,2750,
Innova Crysta,2.7 Zx At 7 Str,"21,03,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Petrol,1795,4735,1830,5,11.2,10.75,164,245,Automatic,2750,
Innova Crysta,2.7 Vx 7 Str,"18,07,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Petrol,1795,4735,1830,5,11.2,11.25,150,343,Manual,2750,
Innova Crysta,2.7 Gx Mt 7 Str,"14,93,000",2755,4,RWD (Rear Wheel Drive),Injection,55,Petrol,1795,4735,1830,5,11.2,11.25,174,360,Manual,2750,
Innova Crysta,2.7 Gx Mt 8 Str,"14,98,000",2755,4,RWD (Rear Wheel Drive),Injection,55,Petrol,1795,4735,1830,5,11.2,11.25,174,360,Manual,2750,
Innova Crysta,Touring Sport 2.4 Vx 7 Str,"20,97,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Diesel,1795,4735,1830,5,12,15,150,343,Manual,2750,
Innova Crysta,Touring Sport 2.7 Vx 7 Str,"18,92,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Petrol,1795,4735,1830,5,11.2,11.25,166,245,Manual,2750,
Innova Crysta,Touring Sport 2.7 Zx At 7 Str,"21,71,000",2694,4,RWD (Rear Wheel Drive),Injection,55,Petrol,1795,4735,1830,5,11.2,10.75,166,245,Automatic,2750,
Innova Crysta,2.4 G Plus 7 Str,"15,92,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Diesel,1795,4735,1830,5,12,15.4,150,343,Manual,2750,
Innova Crysta,2.4 G Plus 8 Str,"15,87,000",2393,4,RWD (Rear Wheel Drive),Injection,55,Diesel,1795,4735,1830,5,12,15.1,150,343,Manual,2750,
